TimeGenerated,UserPrincipalName,AppDisplayName,IPAddress,City,Country,ResultType,ResultDescription,DeviceOS,Browser
2026-08-03T07:01:14.000Z,olivia.chen@cloudora.io,Cloudora Admin Portal,203.0.113.21,London,United Kingdom,0,Success,iOS 17,Mobile Safari
2026-08-03T07:02:12.000Z,ethan.wells@cloudora.io,Outlook Web,192.0.2.30,Austin,United States,0,Success,iOS 17,Mobile Safari
2026-08-03T07:17:01.000Z,lucas.ford@cloudora.io,Microsoft Teams,203.0.113.10,London,United Kingdom,0,Success,macOS 14,Safari 17
2026-08-03T07:22:21.000Z,daniel.reeve@cloudora.io,Outlook Web,203.0.113.41,London,United Kingdom,0,Success,Windows 11,Chrome 126
2026-08-03T07:23:23.000Z,ethan.wells@cloudora.io,Cloudora Admin Portal,192.0.2.30,Austin,United States,0,Success,macOS 14,Safari 17
2026-08-03T07:27:52.000Z,finn.gale@cloudora.io,Cloudora Admin Portal,198.51.100.24,Manchester,United Kingdom,0,Success,Android 14,Chrome Mobile
2026-08-03T07:31:01.000Z,daniel.reeve@cloudora.io,Azure Portal,203.0.113.40,London,United Kingdom,0,Success,Windows 11,Edge 126
2026-08-03T07:35:53.000Z,olivia.chen@cloudora.io,Microsoft 365,203.0.113.21,London,United Kingdom,0,Success,iOS 17,Mobile Safari
2026-08-03T07:38:09.000Z,jack.morgan@cloudora.io,Outlook Web,198.51.100.26,Manchester,United Kingdom,0,Success,Windows 11,Chrome 126
2026-08-03T07:45:48.000Z,ethan.wells@cloudora.io,Azure Portal,192.0.2.30,Austin,United States,0,Success,Android 14,Chrome Mobile
2026-08-03T07:45:50.000Z,seth.lane@cloudora.io,Microsoft 365,192.0.2.32,Austin,United States,0,Success,Windows 11,Edge 126
2026-08-03T07:48:24.000Z,ethan.wells@cloudora.io,SharePoint Online,192.0.2.30,Austin,United States,0,Success,iOS 17,Mobile Safari
2026-08-03T07:54:16.000Z,isla.grant@cloudora.io,Cloudora Admin Portal,203.0.113.15,London,United Kingdom,0,Success,Windows 11,Edge 126
2026-08-03T07:54:35.000Z,cole.burke@cloudora.io,SharePoint Online,198.51.100.25,Manchester,United Kingdom,0,Success,iOS 17,Mobile Safari
2026-08-03T07:55:34.000Z,finn.gale@cloudora.io,Cloudora Admin Portal,198.51.100.24,Manchester,United Kingdom,0,Success,macOS 14,Safari 17
2026-08-03T08:00:01.000Z,jack.morgan@cloudora.io,Cloudora Admin Portal,198.51.100.26,Manchester,United Kingdom,0,Success,iOS 17,Mobile Safari
2026-08-03T08:16:11.000Z,lucas.ford@cloudora.io,Cloudora Admin Portal,203.0.113.10,London,United Kingdom,0,Success,Windows 11,Edge 126
2026-08-03T08:17:50.000Z,mira.shah@cloudora.io,Microsoft 365,203.0.113.18,London,United Kingdom,0,Success,Android 14,Chrome Mobile
2026-08-03T08:21:46.000Z,hugo.marsh@cloudora.io,Cloudora Admin Portal,198.51.100.20,Manchester,United Kingdom,0,Success,Android 14,Chrome Mobile
2026-08-03T08:21:49.000Z,seth.lane@cloudora.io,Outlook Web,192.0.2.32,Austin,United States,0,Success,macOS 14,Safari 17
2026-08-03T08:22:01.000Z,lucas.ford@cloudora.io,Microsoft Teams,203.0.113.10,London,United Kingdom,0,Success,iOS 17,Mobile Safari
2026-08-03T08:27:52.000Z,seth.lane@cloudora.io,SharePoint Online,192.0.2.32,Austin,United States,0,Success,macOS 14,Safari 17
2026-08-03T08:32:17.000Z,finn.gale@cloudora.io,SharePoint Online,198.51.100.24,Manchester,United Kingdom,0,Success,Windows 11,Edge 126
2026-08-03T08:32:58.000Z,hugo.marsh@cloudora.io,Microsoft Teams,198.51.100.20,Manchester,United Kingdom,0,Success,Windows 11,Chrome 126
2026-08-03T08:37:49.000Z,daniel.reeve@cloudora.io,Outlook Web,203.0.113.41,London,United Kingdom,0,Success,iOS 17,Mobile Safari
2026-08-03T08:48:04.000Z,emma.hayes@cloudora.io,Azure Portal,203.0.113.12,London,United Kingdom,0,Success,Android 14,Chrome Mobile
2026-08-03T08:56:22.000Z,mira.shah@cloudora.io,Microsoft Teams,203.0.113.18,London,United Kingdom,0,Success,iOS 17,Mobile Safari
2026-08-03T09:06:03.000Z,daniel.reeve@cloudora.io,Microsoft Teams,203.0.113.41,London,United Kingdom,0,Success,iOS 17,Mobile Safari
2026-08-03T09:07:18.000Z,seth.lane@cloudora.io,Microsoft Teams,192.0.2.32,Austin,United States,0,Success,iOS 17,Mobile Safari
2026-08-03T09:08:00.000Z,isla.grant@cloudora.io,Cloudora Admin Portal,203.0.113.15,London,United Kingdom,0,Success,Windows 11,Edge 126
2026-08-03T09:08:15.000Z,ethan.wells@cloudora.io,Cloudora Admin Portal,192.0.2.30,Austin,United States,0,Success,iOS 17,Mobile Safari
2026-08-03T09:24:53.000Z,jack.morgan@cloudora.io,Cloudora Admin Portal,198.51.100.26,Manchester,United Kingdom,0,Success,Windows 11,Edge 126
2026-08-03T09:36:44.000Z,ava.khan@cloudora.io,Microsoft Teams,203.0.113.20,London,United Kingdom,0,Success,macOS 14,Safari 17
2026-08-03T09:43:26.000Z,sofia.marino@cloudora.io,Azure Portal,203.0.113.19,London,United Kingdom,0,Success,macOS 14,Safari 17
2026-08-03T09:49:08.000Z,sofia.marino@cloudora.io,Azure Portal,203.0.113.19,London,United Kingdom,0,Success,Android 14,Chrome Mobile
2026-08-03T09:53:19.000Z,finn.gale@cloudora.io,Microsoft Teams,198.51.100.24,Manchester,United Kingdom,0,Success,Android 14,Chrome Mobile
2026-08-03T09:54:55.000Z,olivia.chen@cloudora.io,Azure Portal,203.0.113.21,London,United Kingdom,0,Success,Windows 11,Chrome 126
2026-08-03T09:57:06.000Z,liam.turner@cloudora.io,Cloudora Admin Portal,192.0.2.31,Austin,United States,0,Success,macOS 14,Safari 17
2026-08-03T10:01:55.000Z,emma.hayes@cloudora.io,Outlook Web,203.0.113.12,London,United Kingdom,0,Success,macOS 14,Safari 17
2026-08-03T10:02:03.000Z,emma.hayes@cloudora.io,Microsoft 365,203.0.113.12,London,United Kingdom,0,Success,macOS 14,Safari 17
2026-08-03T10:06:56.000Z,jack.morgan@cloudora.io,Azure Portal,198.51.100.26,Manchester,United Kingdom,0,Success,macOS 14,Safari 17
2026-08-03T10:07:55.000Z,ethan.wells@cloudora.io,Outlook Web,192.0.2.30,Austin,United States,0,Success,Windows 11,Chrome 126
2026-08-03T10:16:15.000Z,ethan.wells@cloudora.io,Outlook Web,192.0.2.30,Austin,United States,0,Success,iOS 17,Mobile Safari
2026-08-03T10:30:39.000Z,lucas.ford@cloudora.io,Outlook Web,203.0.113.10,London,United Kingdom,0,Success,Android 14,Chrome Mobile
2026-08-03T10:30:49.000Z,jack.morgan@cloudora.io,Azure Portal,198.51.100.26,Manchester,United Kingdom,0,Success,Android 14,Chrome Mobile
2026-08-03T10:41:20.000Z,isla.grant@cloudora.io,Cloudora Admin Portal,203.0.113.15,London,United Kingdom,0,Success,iOS 17,Mobile Safari
2026-08-03T10:42:35.000Z,chloe.price@cloudora.io,Outlook Web,203.0.113.17,London,United Kingdom,0,Success,Windows 11,Chrome 126
2026-08-03T10:43:46.000Z,daniel.reeve@cloudora.io,Azure Portal,203.0.113.40,London,United Kingdom,0,Success,Android 14,Chrome Mobile
2026-08-03T10:46:58.000Z,lucas.ford@cloudora.io,Outlook Web,203.0.113.10,London,United Kingdom,0,Success,Android 14,Chrome Mobile
2026-08-03T10:50:11.000Z,liam.turner@cloudora.io,SharePoint Online,192.0.2.31,Austin,United States,0,Success,iOS 17,Mobile Safari
2026-08-03T10:50:23.000Z,cole.burke@cloudora.io,Microsoft Teams,198.51.100.25,Manchester,United Kingdom,0,Success,iOS 17,Mobile Safari
2026-08-03T10:50:56.000Z,chloe.price@cloudora.io,Outlook Web,203.0.113.17,London,United Kingdom,0,Success,Windows 11,Edge 126
2026-08-03T10:51:31.000Z,isla.grant@cloudora.io,Outlook Web,203.0.113.15,London,United Kingdom,0,Success,Android 14,Chrome Mobile
2026-08-03T10:53:31.000Z,seth.lane@cloudora.io,Microsoft 365,192.0.2.32,Austin,United States,0,Success,iOS 17,Mobile Safari
2026-08-03T10:54:31.000Z,olivia.chen@cloudora.io,Cloudora Admin Portal,203.0.113.21,London,United Kingdom,0,Success,Windows 11,Edge 126
2026-08-03T10:55:50.000Z,daniel.reeve@cloudora.io,Cloudora Admin Portal,203.0.113.41,London,United Kingdom,0,Success,macOS 14,Safari 17
2026-08-03T10:55:51.000Z,isla.grant@cloudora.io,SharePoint Online,203.0.113.15,London,United Kingdom,0,Success,Windows 11,Edge 126
2026-08-03T10:55:53.000Z,ava.khan@cloudora.io,SharePoint Online,203.0.113.20,London,United Kingdom,0,Success,iOS 17,Mobile Safari
2026-08-03T10:56:43.000Z,liam.turner@cloudora.io,Cloudora Admin Portal,192.0.2.31,Austin,United States,0,Success,macOS 14,Safari 17
2026-08-03T10:58:27.000Z,dina.said@cloudora.io,Outlook Web,203.0.113.14,London,United Kingdom,0,Success,Android 14,Chrome Mobile
2026-08-03T11:01:17.000Z,noah.bishop@cloudora.io,Outlook Web,203.0.113.13,London,United Kingdom,0,Success,macOS 14,Safari 17
2026-08-03T11:06:02.000Z,lucas.ford@cloudora.io,SharePoint Online,203.0.113.10,London,United Kingdom,0,Success,iOS 17,Mobile Safari
2026-08-03T11:14:42.000Z,ava.khan@cloudora.io,SharePoint Online,203.0.113.20,London,United Kingdom,0,Success,Android 14,Chrome Mobile
2026-08-03T11:16:59.000Z,mira.shah@cloudora.io,Cloudora Admin Portal,203.0.113.18,London,United Kingdom,0,Success,Windows 11,Chrome 126
2026-08-03T11:34:17.000Z,lucas.ford@cloudora.io,Microsoft 365,203.0.113.10,London,United Kingdom,0,Success,macOS 14,Safari 17
2026-08-03T11:43:25.000Z,chloe.price@cloudora.io,Cloudora Admin Portal,203.0.113.17,London,United Kingdom,0,Success,iOS 17,Mobile Safari
2026-08-03T11:44:18.000Z,chloe.price@cloudora.io,SharePoint Online,203.0.113.17,London,United Kingdom,0,Success,Windows 11,Edge 126
2026-08-03T11:44:20.000Z,chloe.price@cloudora.io,Azure Portal,203.0.113.17,London,United Kingdom,0,Success,Windows 11,Edge 126
2026-08-03T12:03:45.000Z,jack.morgan@cloudora.io,Microsoft Teams,198.51.100.26,Manchester,United Kingdom,0,Success,Windows 11,Edge 126
2026-08-03T12:06:23.000Z,ethan.wells@cloudora.io,Microsoft 365,192.0.2.30,Austin,United States,0,Success,iOS 17,Mobile Safari
2026-08-03T12:13:21.000Z,hugo.marsh@cloudora.io,Outlook Web,198.51.100.20,Manchester,United Kingdom,0,Success,Windows 11,Chrome 126
2026-08-03T12:17:05.000Z,isla.grant@cloudora.io,Outlook Web,203.0.113.15,London,United Kingdom,0,Success,iOS 17,Mobile Safari
2026-08-03T12:18:09.000Z,cole.burke@cloudora.io,Azure Portal,198.51.100.25,Manchester,United Kingdom,0,Success,Windows 11,Edge 126
2026-08-03T12:26:48.000Z,daniel.reeve@cloudora.io,Cloudora Admin Portal,203.0.113.41,London,United Kingdom,0,Success,Windows 11,Edge 126
2026-08-03T12:27:42.000Z,mira.shah@cloudora.io,SharePoint Online,203.0.113.18,London,United Kingdom,0,Success,Android 14,Chrome Mobile
2026-08-03T12:33:03.000Z,ethan.wells@cloudora.io,Cloudora Admin Portal,192.0.2.30,Austin,United States,0,Success,Windows 11,Edge 126
2026-08-03T12:33:28.000Z,chloe.price@cloudora.io,Outlook Web,203.0.113.17,London,United Kingdom,0,Success,Windows 11,Edge 126
2026-08-03T12:35:25.000Z,olivia.chen@cloudora.io,Microsoft 365,203.0.113.21,London,United Kingdom,0,Success,Windows 11,Chrome 126
2026-08-03T12:40:39.000Z,sofia.marino@cloudora.io,Microsoft Teams,203.0.113.19,London,United Kingdom,50126,Invalid username or password,Android 14,Chrome Mobile
2026-08-03T12:47:25.000Z,lucas.ford@cloudora.io,Microsoft 365,203.0.113.10,London,United Kingdom,0,Success,iOS 17,Mobile Safari
2026-08-03T12:53:43.000Z,jack.morgan@cloudora.io,Microsoft 365,198.51.100.26,Manchester,United Kingdom,0,Success,Windows 11,Chrome 126
